time	V(N003,N006)	V(N018,N020)	I(D12)
3.003973465622251e-006	-1.289615e+002	-1.275229e+002	1.302958e-004
3.013973465622192e-006	-1.296647e+002	-1.282403e+002	1.309352e-004
3.023973465622132e-006	-1.303590e+002	-1.289487e+002	1.315116e-004
3.033973465622073e-006	-1.310441e+002	-1.296480e+002	1.320224e-004
3.043973465622013e-006	-1.317199e+002	-1.303379e+002	1.324779e-004
3.053973465621954e-006	-1.323863e+002	-1.310185e+002	1.328804e-004
3.063973465621895e-006	-1.330431e+002	-1.316894e+002	1.332132e-004
3.073973465621835e-006	-1.336902e+002	-1.323506e+002	1.334835e-004
3.083973465621776e-006	-1.343274e+002	-1.330020e+002	1.336938e-004
3.093973465621716e-006	-1.349546e+002	-1.336432e+002	1.338366e-004
3.103973465621657e-006	-1.355716e+002	-1.342743e+002	1.339135e-004
3.113973465621598e-006	-1.361784e+002	-1.348951e+002	1.339224e-004
3.123973465621538e-006	-1.367747e+002	-1.355053e+002	1.338638e-004
3.133973465621479e-006	-1.373604e+002	-1.361049e+002	1.337370e-004
3.143973465621420e-006	-1.379354e+002	-1.366938e+002	1.335394e-004
3.153973465621360e-006	-1.384996e+002	-1.372717e+002	1.332699e-004
3.163973465621301e-006	-1.390527e+002	-1.378385e+002	1.329292e-004
3.173973465621241e-006	-1.395972e+002	-1.383966e+002	1.325522e-004
3.175223465621234e-006	-1.396644e+002	-1.384655e+002	1.324912e-004
3.177723465621219e-006	-1.397975e+002	-1.386020e+002	1.323436e-004
3.182723465621189e-006	-1.400611e+002	-1.388723e+002	1.320830e-004
3.192723465621130e-006	-1.405805e+002	-1.394051e+002	1.315532e-004
3.202723465621071e-006	-1.410898e+002	-1.399276e+002	1.309226e-004
3.212723465621011e-006	-1.415874e+002	-1.404384e+002	1.302277e-004
3.232723465620892e-006	-1.425470e+002	-1.414240e+002	1.285903e-004
3.242723465620833e-006	-1.430089e+002	-1.418987e+002	1.276557e-004
3.252723465620774e-006	-1.434585e+002	-1.423609e+002	1.266505e-004
3.262723465620714e-006	-1.438958e+002	-1.428107e+002	1.255563e-004
3.272723465620655e-006	-1.443206e+002	-1.432479e+002	1.243846e-004
3.282723465620595e-006	-1.447329e+002	-1.436724e+002	1.231378e-004
3.292723465620536e-006	-1.451325e+002	-1.440840e+002	1.217919e-004
3.302723465620477e-006	-1.455192e+002	-1.444825e+002	1.203694e-004
3.312723465620417e-006	-1.458929e+002	-1.448679e+002	1.188729e-004
3.332723465620299e-006	-1.466010e+002	-1.455988e+002	1.156231e-004
3.352723465620180e-006	-1.472558e+002	-1.462754e+002	1.120289e-004
3.372723465620061e-006	-1.478561e+002	-1.468968e+002	1.080991e-004
3.382723465620002e-006	-1.481356e+002	-1.471865e+002	1.060041e-004
3.392723465619942e-006	-1.484010e+002	-1.474620e+002	1.038299e-004
3.402723465619883e-006	-1.486524e+002	-1.477231e+002	1.015694e-004
3.412723465619823e-006	-1.488896e+002	-1.479697e+002	9.922444e-005
3.422723465619764e-006	-1.491124e+002	-1.482018e+002	9.681493e-005
3.432723465619705e-006	-1.493207e+002	-1.484191e+002	9.432012e-005
3.452723465619586e-006	-1.496932e+002	-1.488088e+002	8.910701e-005
3.462723465619527e-006	-1.498571e+002	-1.489810e+002	8.640252e-005
3.472723465619467e-006	-1.500060e+002	-1.491377e+002	8.364867e-005
3.482723465619408e-006	-1.501395e+002	-1.492789e+002	8.085418e-005
3.492723465619348e-006	-1.502575e+002	-1.494044e+002	7.804160e-005
3.502723465619289e-006	-1.503597e+002	-1.495138e+002	7.528871e-005
3.522723465619170e-006	-1.505150e+002	-1.496829e+002	7.030576e-005
3.532723465619111e-006	-1.505669e+002	-1.497415e+002	6.868492e-005
3.542723465619051e-006	-1.505997e+002	-1.497812e+002	6.921797e-005
3.552723465618992e-006	-1.506096e+002	-1.497992e+002	7.875908e-005
3.562723465618933e-006	-1.505839e+002	-1.497894e+002	1.670370e-004
3.570153184009797e-006	-1.505311e+002	-1.497599e+002	4.344401e-004
3.570508818861876e-006	-1.505251e+002	-1.497571e+002	5.447530e-004
3.571220088566035e-006	-1.505025e+002	-1.497489e+002	1.061762e-003
3.572232381396107e-006	-1.504375e+002	-1.497346e+002	2.569684e-003
3.572775119657558e-006	-1.407741e+002	-1.497252e+002	3.953521e-003
3.573162683095281e-006	-1.157106e+002	-1.497165e+002	5.698471e-003
3.573460986292312e-006	-8.605424e+001	-1.497071e+002	8.527014e-003
3.573461666327767e-006	-8.601752e+001	-1.497069e+002	8.628793e-003
3.573463026398677e-006	-8.601532e+001	-1.497066e+002	8.832553e-003
3.573465746540498e-006	-8.601477e+001	-1.497065e+002	8.860024e-003
3.573471186823921e-006	-8.601399e+001	-1.497063e+002	8.905333e-003
3.573482067390768e-006	-8.601239e+001	-1.497059e+002	9.001227e-003
3.573503828524461e-006	-8.600919e+001	-1.497051e+002	9.171938e-003
