time	V(N003,N006)	-I(Ls1)
1.480317803752448e-005	-7.185125e+001	-1.088795e+001
1.490317803752453e-005	-7.195115e+001	-1.106165e+001
1.500317803752459e-005	-7.205313e+001	-1.111865e+001
1.510317803752465e-005	-7.215418e+001	-1.105350e+001
1.520317803752470e-005	-7.225117e+001	-1.086215e+001
1.530317803752476e-005	-7.234089e+001	-1.054202e+001
1.540317803752482e-005	-7.242307e+001	-1.011998e+001
1.544067803752481e-005	-7.245001e+001	-9.920550e+000
1.546255303752479e-005	-7.246463e+001	-9.794374e+000
1.546880303752475e-005	-7.246863e+001	-9.756910e+000
1.548130303752468e-005	-7.247645e+001	-9.680402e+000
1.549984615571384e-005	-7.248759e+001	-9.563526e+000
1.551949046109868e-005	-7.249863e+001	-9.434082e+000
1.555877907186837e-005	-7.251914e+001	-9.164076e+000
1.556860122456090e-005	-7.252384e+001	-9.093739e+000
1.558824552994574e-005	-7.253224e+001	-8.946556e+000
1.562753414071543e-005	-7.254603e+001	-8.634879e+000
1.570611136225480e-005	-7.256306e+001	-7.955822e+000
1.580611136225486e-005	-7.256505e+001	-7.000303e+000
1.590611136225491e-005	-7.254118e+001	-5.941952e+000
1.600611136225497e-005	-7.248677e+001	-4.783516e+000
1.610611136225503e-005	-7.239755e+001	-3.535717e+000
1.620611136225508e-005	-7.226433e+001	-2.210757e+000
1.630611136225514e-005	-7.204338e+001	-8.272333e-001
1.636163558023504e-005	-2.952728e+001	-7.612429e-002
1.640030413490169e-005	7.176464e+001	3.887702e-001
1.640037353596927e-005	7.189328e+001	3.894206e-001
1.640051233810442e-005	7.189296e+001	3.904874e-001
1.640078994237472e-005	7.189269e+001	3.926197e-001
1.640134515091510e-005	7.189232e+001	3.968838e-001
1.640199073249375e-005	7.189189e+001	4.018439e-001
1.640320024641180e-005	7.189107e+001	4.111402e-001
1.640431071382145e-005	7.189030e+001	4.196806e-001
1.640605088152670e-005	7.188905e+001	4.330735e-001
1.640777288913265e-005	7.188778e+001	4.463367e-001
1.640960435176763e-005	7.188638e+001	4.604579e-001
1.641275815429904e-005	7.188387e+001	4.848042e-001
1.641614916792823e-005	7.188106e+001	5.110189e-001
1.641956471200930e-005	7.187812e+001	5.374672e-001
1.642344359202097e-005	7.187467e+001	5.675561e-001
1.642750795505677e-005	7.187093e+001	5.991448e-001
1.643255990007642e-005	7.186611e+001	6.385007e-001
1.643959161816834e-005	7.185918e+001	6.934490e-001
1.645037145532775e-005	7.184816e+001	7.780454e-001
1.646539050392738e-005	7.183229e+001	8.965774e-001
1.648435864288925e-005	7.181171e+001	1.047362e+000
1.650854860237158e-005	7.178510e+001	1.241345e+000
1.653849454468621e-005	7.175224e+001	1.483958e+000
1.657664192618118e-005	7.171129e+001	1.796631e+000
1.662451025515651e-005	7.166236e+001	2.194057e+000
1.668971331862147e-005	7.160153e+001	2.742630e+000
1.678006365562470e-005	7.152888e+001	3.511023e+000
1.688006365562476e-005	7.146489e+001	4.365414e+000
1.698006365562482e-005	7.141546e+001	5.218723e+000
1.699256365562474e-005	7.141077e+001	5.324760e+000
1.701756365562481e-005	7.140370e+001	5.535205e+000
1.706756365562473e-005	7.139346e+001	5.951596e+000
1.714362293913350e-005	7.138713e+001	6.571415e+000
1.724362293913356e-005	7.139421e+001	7.357101e+000
1.734362293913361e-005	7.141835e+001	8.100456e+000
1.744362293913367e-005	7.145954e+001	8.788564e+000
1.754362293913373e-005	7.151630e+001	9.410411e+000
1.764362293913378e-005	7.158687e+001	9.955347e+000
1.774362293913384e-005	7.166920e+001	1.041326e+001
1.784362293913390e-005	7.176099e+001	1.077472e+001
1.794362293913395e-005	7.185972e+001	1.103118e+001
1.804362293913401e-005	7.196266e+001	1.117510e+001
1.814362293913407e-005	7.206689e+001	1.120010e+001
1.824362293913412e-005	7.216936e+001	1.110109e+001
1.834362293913418e-005	7.226690e+001	1.087441e+001
1.844362293913424e-005	7.235625e+001	1.051792e+001
1.854362293913429e-005	7.243733e+001	1.005894e+001
1.855612293913422e-005	7.244649e+001	9.991714e+000
1.858112293913429e-005	7.246356e+001	9.845558e+000
1.858737293913425e-005	7.246769e+001	9.807925e+000
1.859987293913418e-005	7.247561e+001	9.729938e+000
1.862487293913424e-005	7.249045e+001	9.566632e+000
1.867487293913416e-005	7.251569e+001	9.210481e+000
1.877487293913422e-005	7.255195e+001	8.413329e+000
1.887487293913428e-005	7.256810e+001	7.511892e+000
1.897487293913433e-005	7.255857e+001	6.497134e+000
1.907487293913439e-005	7.252001e+001	5.377508e+000
1.917487293913445e-005	7.244864e+001	4.163067e+000
1.927487293913450e-005	7.233858e+001	2.865389e+000
1.937487293913456e-005	7.215773e+001	1.497526e+000
1.947487293913462e-005	2.512543e+001	1.383883e-001
1.952842954967273e-005	-7.175885e+001	-5.133604e-001
1.952853002990256e-005	-7.189340e+001	-5.143127e-001
1.952873099036198e-005	-7.189305e+001	-5.158808e-001
1.952913291128106e-005	-7.189250e+001	-5.190163e-001
1.952993675311899e-005	-7.189181e+001	-5.252887e-001
1.953127051311705e-005	-7.189065e+001	-5.357008e-001
1.953264445056849e-005	-7.188945e+001	-5.464336e-001
1.953466862541706e-005	-7.188765e+001	-5.622587e-001
1.953672399412259e-005	-7.188579e+001	-5.783425e-001
1.953931807883481e-005	-7.188340e+001	-5.986685e-001
1.954391355409447e-005	-7.187905e+001	-6.347399e-001
1.955005329652574e-005	-7.187307e+001	-6.830399e-001
1.955624691921142e-005	-7.186687e+001	-7.319004e-001
1.956430894972552e-005	-7.185858e+001	-7.957031e-001
1.957274990625215e-005	-7.184970e+001	-8.627423e-001
1.958290216869303e-005	-7.183883e+001	-9.436997e-001
1.959449133943567e-005	-7.182623e+001	-1.036535e+000
1.960834312724098e-005	-7.181102e+001	-1.148073e+000
1.962508306304332e-005	-7.179257e+001	-1.283682e+000
1.964605627041358e-005	-7.176953e+001	-1.454786e+000
1.967268798838250e-005	-7.174069e+001	-1.673877e+000
1.970821523612234e-005	-7.170338e+001	-1.969044e+000
1.975612381845452e-005	-7.165591e+001	-2.371608e+000
1.982461313349915e-005	-7.159491e+001	-2.953919e+000
1.992461313349921e-005	-7.151985e+001	-3.811577e+000
2.002461313349926e-005	-7.146221e+001	-4.670565e+000
2.012461313349932e-005	-7.142413e+001	-5.521847e+000
2.022461313349938e-005	-7.140577e+001	-6.354717e+000
2.032461313349943e-005	-7.140678e+001	-7.158152e+000
2.042461313349949e-005	-7.142642e+001	-7.920962e+000
2.052461313349955e-005	-7.146362e+001	-8.631941e+000
2.062461313349960e-005	-7.151700e+001	-9.280028e+000
2.072461313349966e-005	-7.158487e+001	-9.854471e+000
2.082461313349972e-005	-7.166528e+001	-1.034499e+001
2.092461313349977e-005	-7.175600e+001	-1.074196e+001
2.102461313349983e-005	-7.185459e+001	-1.103655e+001
2.112461313349989e-005	-7.195836e+001	-1.122088e+001
2.122461313349994e-005	-7.206447e+001	-1.128820e+001
2.132461313350000e-005	-7.216990e+001	-1.123300e+001
2.142461313350006e-005	-7.227152e+001	-1.105112e+001
2.152461313350011e-005	-7.236608e+001	-1.073992e+001
2.162461313350017e-005	-7.245328e+001	-1.032631e+001
2.163711313350010e-005	-7.246330e+001	-1.026472e+001
2.166211313350016e-005	-7.248218e+001	-1.012982e+001
2.166836313350013e-005	-7.248678e+001	-1.009499e+001
2.168086313350005e-005	-7.249564e+001	-1.002259e+001
2.170586313350012e-005	-7.251291e+001	-9.874043e+000
2.171003566749964e-005	-7.251571e+001	-9.848557e+000
2.173507087149720e-005	-7.253150e+001	-9.688034e+000
2.176845114349379e-005	-7.255036e+001	-9.458549e+000
2.183521168748698e-005	-7.258086e+001	-8.954402e+000
2.193521168748704e-005	-7.261020e+001	-8.108007e+000
2.203521168748709e-005	-7.261730e+001	-7.154609e+000
2.213521168748715e-005	-7.259726e+001	-6.091311e+000
2.223521168748721e-005	-7.254664e+001	-4.927248e+000
2.233521168748726e-005	-7.246127e+001	-3.673120e+000
2.243521168748732e-005	-7.233283e+001	-2.341098e+000
2.253521168748738e-005	-7.216195e+001	-9.552532e-001
2.257271168748737e-005	-7.205110e+001	-4.171023e-001
2.259386415256115e-005	-2.635263e+001	-1.239563e-001
2.260604960518551e-005	7.172233e+001	2.451354e-002
2.260607256943602e-005	7.185777e+001	2.472934e-002
2.260611849793704e-005	7.185835e+001	2.508305e-002
2.260621035493887e-005	7.185944e+001	2.579102e-002
2.260639406894251e-005	7.186191e+001	2.720307e-002
2.260666434280353e-005	7.186530e+001	2.927497e-002
2.260695631495398e-005	7.186868e+001	3.151593e-002
2.260733920779966e-005	7.187272e+001	3.445664e-002
2.260774539932019e-005	7.187655e+001	3.757306e-002
2.260832695163690e-005	7.188141e+001	4.203717e-002
2.260896907278244e-005	7.188615e+001	4.696872e-002
2.260958690398379e-005	7.189015e+001	5.171591e-002
2.261025088806353e-005	7.189394e+001	5.681962e-002
2.261084282509309e-005	7.189695e+001	6.136860e-002
2.261153793709750e-005	7.190012e+001	6.671358e-002
2.261214993170505e-005	7.190263e+001	7.142168e-002
2.261287202372621e-005	7.190528e+001	7.697890e-002
2.261361777546977e-005	7.190775e+001	8.271915e-002
2.261430728250262e-005	7.190981e+001	8.802737e-002
2.261502055297244e-005	7.191173e+001	9.352289e-002
2.261567064328887e-005	7.191333e+001	9.853296e-002
2.261635357639390e-005	7.191486e+001	1.037975e-001
2.261699414095970e-005	7.191617e+001	1.087361e-001
2.261773330028438e-005	7.191756e+001	1.144376e-001
2.261831252718173e-005	7.191856e+001	1.189085e-001
2.261896551996549e-005	7.191959e+001	1.239486e-001
2.261953684487366e-005	7.192042e+001	1.283596e-001
2.262027413159427e-005	7.192140e+001	1.340535e-001
2.262094352469251e-005	7.192222e+001	1.392264e-001
2.262165330931595e-005	7.192301e+001	1.447138e-001
2.262236597315014e-005	7.192372e+001	1.502233e-001
2.262316246384234e-005	7.192444e+001	1.563840e-001
2.262396346828068e-005	7.192508e+001	1.625829e-001
2.262482979389522e-005	7.192570e+001	1.692907e-001
2.262563933281355e-005	7.192619e+001	1.755599e-001
2.262658396090717e-005	7.192670e+001	1.828787e-001
2.262732530745187e-005	7.192704e+001	1.886263e-001
2.262811931463046e-005	7.192735e+001	1.947837e-001
2.262880823189592e-005	7.192758e+001	2.001277e-001
2.262964415658693e-005	7.192781e+001	2.066141e-001
2.263029608055183e-005	7.192795e+001	2.116765e-001
2.263110109868320e-005	7.192809e+001	2.179291e-001
2.263177087806077e-005	7.192818e+001	2.231321e-001
2.263254137824613e-005	7.192824e+001	2.291204e-001
2.263325036203339e-005	7.192827e+001	2.346334e-001
2.263405863392833e-005	7.192827e+001	2.409213e-001
2.263480546051892e-005	7.192824e+001	2.467314e-001
2.263562828104808e-005	7.192817e+001	2.531362e-001
2.263630047216639e-005	7.192809e+001	2.583714e-001
2.263708730158875e-005	7.192798e+001	2.645013e-001
2.263784894508420e-005	7.192784e+001	2.704363e-001
2.263869592473251e-005	7.192766e+001	2.770387e-001
2.263938951136985e-005	7.192750e+001	2.824492e-001
2.264019964571748e-005	7.192727e+001	2.887701e-001
