time	I(Ls1)
4.958354772141116e-005	6.861056e-004
4.958358930635389e-005	6.583116e-004
4.958362905979207e-005	4.464418e-004
4.958366002420908e-005	1.814866e-004
4.958369578246698e-005	-1.607826e-004
4.958373831908444e-005	-5.040306e-004
4.958377933827552e-005	-6.895566e-004
4.958381508926623e-005	-6.835500e-004
4.958384883924387e-005	-5.252252e-004
4.958388293335486e-005	-2.520869e-004
4.958391977756896e-005	9.196573e-005
4.958396751732317e-005	4.836327e-004
4.958400885652779e-005	6.734600e-004
4.958405040875213e-005	6.497777e-004
4.958409496885405e-005	4.128476e-004
4.958412757056379e-005	1.354343e-004
4.958416367949669e-005	-2.027278e-004
4.958420740591957e-005	-5.370962e-004
4.958424591439896e-005	-6.903622e-004
4.958428101648794e-005	-6.670870e-004
4.958431465076972e-005	-4.995361e-004
4.958434855269157e-005	-2.245606e-004
4.958438625386058e-005	1.230533e-004
4.958443445568571e-005	5.042254e-004
4.958447438192966e-005	6.711765e-004
4.958451638787547e-005	6.358730e-004
4.958455644195206e-005	4.211453e-004
4.958458796179999e-005	1.549954e-004
4.958462413074023e-005	-1.804136e-004
4.958466829422755e-005	-5.189484e-004
4.958470737176260e-005	-6.790382e-004
4.958474261340553e-005	-6.616906e-004
4.958477628080773e-005	-5.001721e-004
4.958481024726802e-005	-2.305636e-004
4.958484732074556e-005	1.073084e-004
4.958489513598127e-005	4.851731e-004
4.958493573196054e-005	6.594752e-004
4.958497773121509e-005	6.273058e-004
4.958502249687719e-005	3.873472e-004
4.958505571764490e-005	1.084872e-004
4.958509224017491e-005	-2.217223e-004
4.958513786896949e-005	-5.469752e-004
4.958517720270628e-005	-6.780428e-004
4.958521230436917e-005	-6.324726e-004
4.958524564655648e-005	-4.519565e-004
4.958527915200359e-005	-1.764157e-004
4.958531819767979e-005	1.726955e-004
4.958536763172627e-005	5.341744e-004
4.958540574290823e-005	6.630052e-004
4.958544890647080e-005	5.950038e-004
4.958548804670808e-005	3.673490e-004
4.958552091351002e-005	8.650542e-005
4.958555759463886e-005	-2.360606e-004
4.958560759460917e-005	-5.653230e-004
4.958564872515042e-005	-6.691259e-004
4.958568394555557e-005	-5.883446e-004
4.958572035081957e-005	-3.611675e-004
4.958575312877874e-005	-8.104237e-005
4.958579636450233e-005	2.805660e-004
4.958585439110604e-005	6.014568e-004
4.958589826815430e-005	6.319477e-004
4.958594014244392e-005	4.513923e-004
4.958597292142376e-005	1.989155e-004
4.958601111541708e-005	-1.430565e-004
4.958605177170640e-005	-4.536154e-004
4.958609567326327e-005	-6.436381e-004
4.958613193405776e-005	-6.400170e-004
4.958616562896227e-005	-4.908370e-004
4.958619967869731e-005	-2.340973e-004
4.958623536057555e-005	7.951693e-005
4.958628247612052e-005	4.451293e-004
4.958632421428683e-005	6.287853e-004
4.958636639580032e-005	6.096128e-004
4.958641152828748e-005	3.856235e-004
4.958644490415617e-005	1.191518e-004
4.958648215740440e-005	-2.057885e-004
4.958652718303693e-005	-5.212568e-004
4.958656491331958e-005	-6.519770e-004
4.958659976020147e-005	-6.198865e-004
4.958663328799204e-005	-4.555386e-004
4.958666705289503e-005	-1.942005e-004
4.958670426130174e-005	1.284202e-004
4.958675214323735e-005	4.808286e-004
4.958679159648271e-005	6.307213e-004
4.958683444143599e-005	5.857578e-004
4.958687960092802e-005	3.436063e-004
4.958691392956756e-005	6.500354e-005
4.958695132206877e-005	-2.490912e-004
4.958700082142997e-005	-5.556210e-004
4.958704074323759e-005	-6.453238e-004
4.958707569935198e-005	-5.632404e-004
4.958711175677834e-005	-3.440815e-004
4.958714452022632e-005	-7.349900e-005
4.958718712490696e-005	2.698082e-004
4.958724505349575e-005	5.778980e-004
4.958728939408576e-005	6.063061e-004
4.958733212325774e-005	4.260946e-004
4.958736615389781e-005	1.717240e-004
4.958740530142418e-005	-1.636265e-004
4.958744725442167e-005	-4.643342e-004
4.958748905684084e-005	-6.261766e-004
4.958752473718884e-005	-6.119420e-004
4.958755832144878e-005	-4.619932e-004
4.958759221885384e-005	-2.121130e-004
4.958762779524030e-005	8.953971e-005
4.958767474246353e-005	4.374589e-004
4.958771594617802e-005	6.069504e-004
4.958775869853176e-005	5.819534e-004
4.958780414040533e-005	3.584075e-004
4.958783886239841e-005	8.876532e-005
4.958787712991538e-005	-2.277051e-004
4.958792448337855e-005	-5.283057e-004
4.958796280402490e-005	-6.313880e-004
4.958799763594111e-005	-5.746041e-004
4.958803081216655e-005	-3.976785e-004
4.958806411443180e-005	-1.383896e-004
4.958810273653536e-005	1.803943e-004
4.958815313084886e-005	5.095146e-004
4.958819246443863e-005	6.115070e-004
4.958824032116156e-005	5.075176e-004
4.958828022839294e-005	2.663682e-004
