Freq.	I(Ls1)	I(Ls2)
1.57057057057056e+05	(-2.83310341866128e+01dB,-1.27468080267097e+02°)	(-2.83310341866128e+01dB,-1.27468080267097e+02°)
1.57157157157156e+05	(-2.83402522539276e+01dB,-1.28003485197395e+02°)	(-2.83402522539276e+01dB,-1.28003485197394e+02°)
1.57257257257256e+05	(-2.83499510526731e+01dB,-1.28537981502354e+02°)	(-2.83499510526731e+01dB,-1.28537981502354e+02°)
1.57357357357357e+05	(-2.83601285031803e+01dB,-1.29071526139534e+02°)	(-2.83601285031803e+01dB,-1.29071526139534e+02°)
1.57457457457457e+05	(-2.83707823852640e+01dB,-1.29604076433478e+02°)	(-2.83707823852640e+01dB,-1.29604076433478e+02°)
1.57557557557557e+05	(-2.83819103402821e+01dB,-1.30135590101913e+02°)	(-2.83819103402821e+01dB,-1.30135590101913e+02°)
1.57657657657657e+05	(-2.83935098733314e+01dB,-1.30666025281352e+02°)	(-2.83935098733314e+01dB,-1.30666025281352e+02°)
1.57757757757757e+05	(-2.84055783555752e+01dB,-1.31195340552042e+02°)	(-2.84055783555752e+01dB,-1.31195340552042e+02°)
1.57857857857857e+05	(-2.84181130266977e+01dB,-1.31723494962232e+02°)	(-2.84181130266977e+01dB,-1.31723494962232e+02°)
1.57957957957957e+05	(-2.84311109974802e+01dB,-1.32250448051739e+02°)	(-2.84311109974802e+01dB,-1.32250448051739e+02°)
1.58058058058057e+05	(-2.84445692524925e+01dB,-1.32776159874758e+02°)	(-2.84445692524925e+01dB,-1.32776159874758e+02°)
1.58158158158157e+05	(-2.84584846528958e+01dB,-1.33300591021910e+02°)	(-2.84584846528958e+01dB,-1.33300591021910e+02°)
1.58258258258257e+05	(-2.84728539393491e+01dB,-1.33823702641495e+02°)	(-2.84728539393491e+01dB,-1.33823702641495e+02°)
1.58358358358358e+05	(-2.84876737350146e+01dB,-1.34345456459917e+02°)	(-2.84876737350146e+01dB,-1.34345456459917e+02°)
1.58458458458458e+05	(-2.85029405486556e+01dB,-1.34865814801276e+02°)	(-2.85029405486556e+01dB,-1.34865814801276e+02°)
1.58558558558558e+05	(-2.85186507778205e+01dB,-1.35384740606089e+02°)	(-2.85186507778205e+01dB,-1.35384740606089e+02°)
1.58658658658658e+05	(-2.85348007121066e+01dB,-1.35902197449139e+02°)	(-2.85348007121066e+01dB,-1.35902197449139e+02°)
1.58758758758758e+05	(-2.85513865364978e+01dB,-1.36418149556431e+02°)	(-2.85513865364978e+01dB,-1.36418149556431e+02°)
1.58858858858858e+05	(-2.85684043347689e+01dB,-1.36932561821231e+02°)	(-2.85684043347689e+01dB,-1.36932561821231e+02°)
1.58958958958958e+05	(-2.85858500929512e+01dB,-1.37445399819202e+02°)	(-2.85858500929512e+01dB,-1.37445399819202e+02°)
1.59059059059058e+05	(-2.86037197028516e+01dB,-1.37956629822604e+02°)	(-2.86037197028516e+01dB,-1.37956629822604e+02°)
1.59159159159158e+05	(-2.86220089656203e+01dB,-1.38466218813565e+02°)	(-2.86220089656203e+01dB,-1.38466218813565e+02°)
1.59259259259258e+05	(-2.86407135953590e+01dB,-1.38974134496420e+02°)	(-2.86407135953590e+01dB,-1.38974134496420e+02°)
1.59359359359358e+05	(-2.86598292227648e+01dB,-1.39480345309105e+02°)	(-2.86598292227648e+01dB,-1.39480345309105e+02°)
1.59459459459459e+05	(-2.86793513988024e+01dB,-1.39984820433622e+02°)	(-2.86793513988024e+01dB,-1.39984820433622e+02°)
1.59559559559559e+05	(-2.86992755983987e+01dB,-1.40487529805562e+02°)	(-2.86992755983987e+01dB,-1.40487529805562e+02°)
1.59659659659659e+05	(-2.87195972241539e+01dB,-1.40988444122698e+02°)	(-2.87195972241539e+01dB,-1.40988444122698e+02°)
1.59759759759759e+05	(-2.87403116100632e+01dB,-1.41487534852660e+02°)	(-2.87403116100632e+01dB,-1.41487534852660e+02°)
1.59859859859859e+05	(-2.87614140252421e+01dB,-1.41984774239682e+02°)	(-2.87614140252421e+01dB,-1.41984774239682e+02°)
1.59959959959959e+05	(-2.87828996776512e+01dB,-1.42480135310449e+02°)	(-2.87828996776512e+01dB,-1.42480135310449e+02°)
1.60060060060059e+05	(-2.88047637178136e+01dB,-1.42973591879045e+02°)	(-2.88047637178136e+01dB,-1.42973591879045e+02°)
1.60160160160159e+05	(-2.88270012425201e+01dB,-1.43465118551021e+02°)	(-2.88270012425201e+01dB,-1.43465118551021e+02°)
1.60260260260259e+05	(-2.88496072985164e+01dB,-1.43954690726586e+02°)	(-2.88496072985164e+01dB,-1.43954690726586e+02°)
1.60360360360359e+05	(-2.88725768861682e+01dB,-1.44442284602955e+02°)	(-2.88725768861682e+01dB,-1.44442284602955e+02°)
1.60460460460460e+05	(-2.88959049630981e+01dB,-1.44927877175855e+02°)	(-2.88959049630981e+01dB,-1.44927877175855e+02°)
1.60560560560560e+05	(-2.89195864477905e+01dB,-1.45411446240214e+02°)	(-2.89195864477905e+01dB,-1.45411446240214e+02°)
1.60660660660660e+05	(-2.89436162231593e+01dB,-1.45892970390054e+02°)	(-2.89436162231593e+01dB,-1.45892970390054e+02°)
1.60760760760760e+05	(-2.89679891400749e+01dB,-1.46372429017604e+02°)	(-2.89679891400749e+01dB,-1.46372429017604e+02°)
1.60860860860860e+05	(-2.89927000208454e+01dB,-1.46849802311658e+02°)	(-2.89927000208454e+01dB,-1.46849802311658e+02°)
1.60960960960960e+05	(-2.90177436626499e+01dB,-1.47325071255203e+02°)	(-2.90177436626499e+01dB,-1.47325071255203e+02°)
1.61061061061060e+05	(-2.90431148409173e+01dB,-1.47798217622330e+02°)	(-2.90431148409173e+01dB,-1.47798217622330e+02°)
1.61161161161160e+05	(-2.90688083126509e+01dB,-1.48269223974466e+02°)	(-2.90688083126509e+01dB,-1.48269223974466e+02°)
1.61261261261260e+05	(-2.90948188196923e+01dB,-1.48738073655935e+02°)	(-2.90948188196923e+01dB,-1.48738073655935e+02°)
1.61361361361360e+05	(-2.91211410919236e+01dB,-1.49204750788896e+02°)	(-2.91211410919236e+01dB,-1.49204750788896e+02°)
1.61461461461461e+05	(-2.91477698504044e+01dB,-1.49669240267654e+02°)	(-2.91477698504044e+01dB,-1.49669240267654e+02°)
1.61561561561561e+05	(-2.91746998104417e+01dB,-1.50131527752396e+02°)	(-2.91746998104417e+01dB,-1.50131527752396e+02°)
1.61661661661661e+05	(-2.92019256845888e+01dB,-1.50591599662366e+02°)	(-2.92019256845888e+01dB,-1.50591599662366e+02°)
1.61761761761761e+05	(-2.92294421855740e+01dB,-1.51049443168501e+02°)	(-2.92294421855740e+01dB,-1.51049443168501e+02°)
1.61861861861861e+05	(-2.92572440291534e+01dB,-1.51505046185570e+02°)	(-2.92572440291534e+01dB,-1.51505046185570e+02°)
1.61961961961961e+05	(-2.92853259368899e+01dB,-1.51958397363821e+02°)	(-2.92853259368899e+01dB,-1.51958397363821e+02°)
1.62062062062061e+05	(-2.93136826388545e+01dB,-1.52409486080184e+02°)	(-2.93136826388545e+01dB,-1.52409486080184e+02°)
1.62162162162161e+05	(-2.93423088762492e+01dB,-1.52858302429039e+02°)	(-2.93423088762492e+01dB,-1.52858302429039e+02°)
