Freq.	I(Ls1)	I(Ls2)
1.13513513513513e+05	(-4.19019787832187e+01dB,3.17180865913709e+01°)	(-4.68100894342024e+01dB,1.66775386412056e+01°)
1.13613613613613e+05	(-4.18482663096916e+01dB,3.15252823098467e+01°)	(-4.67664627450416e+01dB,1.65224041404055e+01°)
1.13713713713714e+05	(-4.17945602453014e+01dB,3.13316866805351e+01°)	(-4.67228343815967e+01dB,1.63668292462324e+01°)
1.13813813813814e+05	(-4.17408610526062e+01dB,3.11372972001364e+01°)	(-4.66792044511065e+01dB,1.62108120868635e+01°)
1.13913913913914e+05	(-4.16871691992501e+01dB,3.09421113827944e+01°)	(-4.66355730636789e+01dB,1.60543507907725e+01°)
1.14014014014014e+05	(-4.16334851579610e+01dB,3.07461267606291e+01°)	(-4.65919403323064e+01dB,1.58974434870166e+01°)
1.14114114114114e+05	(-4.15798094065498e+01dB,3.05493408842747e+01°)	(-4.65483063728800e+01dB,1.57400883055309e+01°)
1.14214214214214e+05	(-4.15261424279063e+01dB,3.03517513234226e+01°)	(-4.65046713042026e+01dB,1.55822833774257e+01°)
1.14314314314314e+05	(-4.14724847099947e+01dB,3.01533556673701e+01°)	(-4.64610352480024e+01dB,1.54240268352899e+01°)
1.14414414414414e+05	(-4.14188367458480e+01dB,2.99541515255742e+01°)	(-4.64173983289443e+01dB,1.52653168134999e+01°)
1.14514514514514e+05	(-4.13651990335601e+01dB,2.97541365282106e+01°)	(-4.63737606746418e+01dB,1.51061514485327e+01°)
1.14614614614614e+05	(-4.13115720762772e+01dB,2.95533083267371e+01°)	(-4.63301224156670e+01dB,1.49465288792842e+01°)
1.14714714714715e+05	(-4.12579563821876e+01dB,2.93516645944632e+01°)	(-4.62864836855607e+01dB,1.47864472473930e+01°)
1.14814814814815e+05	(-4.12043524645102e+01dB,2.91492030271230e+01°)	(-4.62428446208407e+01dB,1.46259046975683e+01°)
1.14914914914915e+05	(-4.11507608414807e+01dB,2.89459213434544e+01°)	(-4.61992053610101e+01dB,1.44648993779233e+01°)
1.15015015015015e+05	(-4.10971820363376e+01dB,2.87418172857810e+01°)	(-4.61555660485641e+01dB,1.43034294403133e+01°)
1.15115115115115e+05	(-4.10436165773052e+01dB,2.85368886206007e+01°)	(-4.61119268289960e+01dB,1.41414930406782e+01°)
1.15215215215215e+05	(-4.09900649975760e+01dB,2.83311331391763e+01°)	(-4.60682878508023e+01dB,1.39790883393904e+01°)
1.15315315315315e+05	(-4.09365278352913e+01dB,2.81245486581323e+01°)	(-4.60246492654870e+01dB,1.38162135016064e+01°)
1.15415415415415e+05	(-4.08830056335195e+01dB,2.79171330200546e+01°)	(-4.59810112275640e+01dB,1.36528666976237e+01°)
1.15515515515515e+05	(-4.08294989402334e+01dB,2.77088840940946e+01°)	(-4.59373738945598e+01dB,1.34890461032419e+01°)
